ProdTaken,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,Designation,MonthlyIncome,Total_Visits
1,50,Self Enquiry,3,9,Small Business,Male,4,Basic,3,Divorced,2,1,4,0,Executive,17683,2
0,35,Self Enquiry,3,8,Small Business,Female,3,Basic,3,Divorced,2,0,2,1,Executive,17014,3
0,36,Self Enquiry,1,11,Salaried,Female,4,Basic,3,Divorced,1,1,2,1,Executive,95000,2
0,33,Company Invited,3,6,Salaried,Female,2,Deluxe,5,Divorced,3,0,3,1,Manager,20376,2
0,35,Self Enquiry,1,10,Salaried,Male,3,Basic,3,Married,2,0,4,0,Executive,16951,3
0,27,Self Enquiry,1,8,Salaried,Female,3,Basic,5,Married,2,0,3,0,Executive,17341,3
1,26,Self Enquiry,1,31,Salaried,Male,5,Basic,3,Unmarried,2,0,2,1,Executive,17293,3
0,27,Company Invited,3,14,Salaried,Male,3,Standard,3,Unmarried,2,0,2,1,Senior Manager,23726,2
0,36,Company Invited,1,6,Small Business,Female,3,Deluxe,3,Unmarried,2,0,3,1,Manager,22347,2
1,41,Self Enquiry,1,18,Large Business,Female,3,King,3,Divorced,2,0,4,1,VP,34545,2
0,34,Company Invited,3,13,Small Business,Male,3,Deluxe,3,Unmarried,1,0,5,1,Manager,19568,4
0,37,Self Enquiry,1,25,Salaried,Male,3,Basic,4,Divorced,5,0,4,1,Executive,18022,4
0,46,Company Invited,3,11,Small Business,Male,3,Deluxe,3,Unmarried,5,1,5,1,Manager,20772,4
0,35,Self Enquiry,1,14,Salaried,Male,2,Basic,3,Divorced,2,0,5,1,Executive,17269,3
1,48,Self Enquiry,1,6,Salaried,Male,4,Standard,3,Unmarried,1,1,5,0,Senior Manager,20381,5
1,36,Self Enquiry,1,11,Large Business,Male,3,Basic,3,Unmarried,2,1,2,1,Executive,18441,2
0,44,Self Enquiry,3,6,Small Business,Female,3,Deluxe,5,Married,6,1,2,0,Manager,20454,3
0,35,Company Invited,1,17,Small Business,Male,4,Standard,5,Divorced,3,1,5,1,Senior Manager,24884,4
0,36,Self Enquiry,3,29,Small Business,Female,4,Deluxe,3,Divorced,1,1,2,1,Manager,22347,2
0,33,Company Invited,1,6,Salaried,Female,3,Standard,3,Unmarried,2,1,2,1,Senior Manager,28458,3
0,35,Company Invited,3,24,Salaried,Male,3,Standard,5,Divorced,2,0,4,1,Senior Manager,24069,3
0,36,Self Enquiry,1,29,Small Business,Female,3,Basic,5,Divorced,4,1,4,1,Executive,22347,1
0,31,Self Enquiry,1,13,Salaried,Male,3,Deluxe,3,Married,4,0,3,1,Manager,20915,2
0,37,Self Enquiry,1,6,Salaried,Male,4,Deluxe,3,Married,2,0,5,1,Manager,20993,3
0,32,Self Enquiry,1,6,Small Business,Male,3,Deluxe,3,Divorced,2,1,4,1,Manager,21162,2
0,38,Company Invited,1,35,Salaried,Female,3,Deluxe,3,Unmarried,2,0,3,1,Manager,17406,2
0,50,Self Enquiry,1,13,Small Business,Female,4,King,3,Married,6,1,4,1,VP,33740,3
0,59,Self Enquiry,3,31,Salaried,Female,3,Standard,5,Unmarried,1,0,3,1,Senior Manager,22637,2
0,36,Self Enquiry,1,14,Large Business,Female,3,Standard,3,Married,2,0,4,1,Senior Manager,25096,3
0,55,Self Enquiry,1,14,Small Business,Female,3,Super Deluxe,3,Married,3,1,3,0,AVP,29756,3
0,36,Company Invited,1,17,Salaried,Male,4,Deluxe,4,Unmarried,2,0,4,1,Manager,21499,4
0,45,Self Enquiry,1,13,Salaried,Male,3,Standard,5,Married,3,0,3,1,Senior Manager,24724,3
0,35,Company Invited,1,6,Small Business,Male,3,Basic,5,Divorced,5,0,2,0,Executive,17194,4
1,36,Self Enquiry,1,15,Small Business,Male,4,Basic,3,Divorced,1,1,2,0,Executive,18388,4
0,59,Company Invited,3,6,Salaried,Female,4,Deluxe,3,Unmarried,1,0,5,1,Manager,20473,3
0,29,Self Enquiry,1,8,Salaried,Male,3,Basic,4,Divorced,1,0,4,0,Executive,17703,3
0,31,Self Enquiry,1,6,Small Business,Male,3,Basic,4,Unmarried,2,0,3,0,Executive,17501,2
0,32,Self Enquiry,1,6,Salaried,Male,3,Deluxe,4,Divorced,2,0,3,0,Manager,21220,3
0,36,Self Enquiry,1,12,Salaried,Female,2,Deluxe,3,Divorced,4,0,2,0,Manager,18038,2
0,31,Self Enquiry,1,13,Salaried,Female,3,Deluxe,3,Unmarried,2,0,5,0,Manager,22347,4
0,35,Self Enquiry,3,13,Small Business,Male,4,Deluxe,5,Unmarried,1,0,2,0,Manager,22347,3
0,45,Self Enquiry,1,12,Salaried,Male,3,Standard,5,Divorced,5,1,3,0,Senior Manager,28245,2
0,37,Self Enquiry,1,13,Small Business,Male,3,Standard,3,Unmarried,5,0,2,0,Senior Manager,28664,1
0,46,Self Enquiry,2,11,Small Business,Male,4,Deluxe,4,Married,1,1,5,0,Manager,20021,4
0,30,Self Enquiry,1,6,Salaried,Male,4,Deluxe,3,Divorced,2,1,2,1,Manager,20126,3
0,35,Self Enquiry,1,6,Small Business,Male,4,Basic,3,Unmarried,2,0,4,1,Executive,17859,1
0,55,Self Enquiry,3,6,Salaried,Male,3,Standard,3,Divorced,4,0,2,0,Senior Manager,25239,4
0,38,Company Invited,1,12,Small Business,Female,5,Deluxe,3,Married,1,1,2,0,Manager,20329,5
0,34,Self Enquiry,1,13,Small Business,Male,3,Deluxe,4,Divorced,2,0,5,0,Manager,22347,3
0,56,Self Enquiry,1,13,Salaried,Male,5,Standard,3,Unmarried,5,0,2,0,Senior Manager,22260,2
0,23,Self Enquiry,3,8,Large Business,Male,3,Basic,5,Married,4,0,3,1,Executive,17322,4
0,51,Self Enquiry,1,15,Salaried,Male,3,Basic,3,Divorced,4,0,3,1,Executive,17075,3
0,36,Self Enquiry,1,8,Salaried,Male,4,Deluxe,3,Divorced,2,0,4,1,Manager,22347,2
1,46,Self Enquiry,3,15,Small Business,Male,4,Standard,3,Unmarried,2,0,5,0,Senior Manager,24619,4
0,40,Company Invited,1,6,Salaried,Male,4,Super Deluxe,4,Divorced,2,0,2,1,AVP,28503,5
0,51,Self Enquiry,3,27,Small Business,Male,3,Deluxe,3,Unmarried,1,1,5,1,Manager,20441,4
0,30,Self Enquiry,3,10,Small Business,Female,4,Deluxe,4,Married,2,1,3,1,Manager,20209,4
0,46,Company Invited,1,6,Small Business,Male,4,Standard,5,Divorced,3,1,2,1,Senior Manager,25673,3
0,32,Self Enquiry,3,12,Small Business,Male,4,Deluxe,3,Unmarried,2,0,5,1,Manager,20010,2
0,54,Self Enquiry,1,8,Large Business,Female,3,Standard,3,Divorced,1,0,4,1,Senior Manager,28549,2
0,24,Self Enquiry,3,9,Salaried,Female,4,Deluxe,3,Divorced,1,0,4,1,Manager,19999,2
0,36,Company Invited,3,10,Small Business,Male,3,Deluxe,3,Divorced,2,0,2,1,Manager,22347,2
0,58,Self Enquiry,3,16,Small Business,Male,3,Super Deluxe,3,Unmarried,1,0,3,1,AVP,28872,3
0,44,Company Invited,1,29,Small Business,Male,3,Deluxe,4,Divorced,5,0,3,1,Manager,17042,3
1,37,Self Enquiry,2,12,Salaried,Male,3,Basic,5,Married,5,1,2,1,Executive,17073,3
0,32,Self Enquiry,1,6,Salaried,Male,3,Basic,5,Unmarried,2,0,2,0,Executive,17956,5
1,20,Company Invited,1,12,Salaried,Female,4,Basic,3,Unmarried,2,1,2,1,Executive,17926,4
0,34,Self Enquiry,1,13,Salaried,Female,3,Deluxe,3,Unmarried,2,0,3,1,Manager,19809,2
0,37,Company Invited,1,8,Salaried,Male,4,Deluxe,3,Married,6,0,2,0,Manager,20163,4
0,59,Company Invited,2,8,Salaried,Female,4,King,3,Divorced,1,0,2,1,VP,33844,3
0,50,Company Invited,1,6,Salaried,Female,3,King,4,Divorced,4,1,2,0,VP,33172,5
1,25,Self Enquiry,3,11,Small Business,Male,4,Deluxe,3,Unmarried,2,1,3,1,Manager,20744,2
0,25,Self Enquiry,1,13,Small Business,Male,4,Basic,3,Divorced,2,0,2,1,Executive,17889,5
0,22,Self Enquiry,1,21,Small Business,Female,3,Basic,3,Unmarried,2,0,2,1,Executive,17871,3
0,51,Company Invited,1,6,Small Business,Female,4,Standard,5,Unmarried,4,0,2,1,Senior Manager,22484,1
1,34,Company Invited,1,13,Salaried,Male,5,Deluxe,3,Unmarried,2,1,5,1,Manager,21074,4
0,54,Company Invited,2,32,Salaried,Female,2,Super Deluxe,3,Unmarried,3,1,3,1,AVP,32328,1
0,24,Self Enquiry,1,24,Salaried,Male,3,Basic,3,Divorced,1,0,4,1,Executive,17774,2
0,34,Self Enquiry,1,13,Salaried,Female,4,Deluxe,4,Married,7,0,3,0,Manager,19505,3
0,37,Self Enquiry,3,9,Salaried,Male,3,Standard,3,Unmarried,3,0,3,0,Senior Manager,22428,2
0,34,Self Enquiry,1,11,Small Business,Female,4,Standard,5,Unmarried,3,0,2,0,Senior Manager,26631,2
0,36,Company Invited,3,17,Large Business,Female,3,Standard,3,Divorced,1,0,5,0,Senior Manager,24738,3
0,36,Self Enquiry,1,9,Salaried,Female,3,Basic,3,Married,6,0,2,1,Executive,17835,2
0,43,Company Invited,3,32,Salaried,Male,3,Super Deluxe,3,Divorced,2,1,2,0,AVP,31959,3
0,30,Company Invited,1,29,Salaried,Male,5,Basic,3,Married,2,0,3,1,Executive,17613,5
0,33,Company Invited,3,28,Small Business,Male,3,Deluxe,4,Divorced,1,0,2,0,Manager,21146,4
1,56,Self Enquiry,1,20,Salaried,Female,4,Basic,4,Divorced,1,1,5,1,Executive,19963,4
0,51,Self Enquiry,1,12,Salaried,Male,3,King,3,Unmarried,1,0,5,1,VP,34537,2
1,31,Self Enquiry,3,12,Salaried,Male,5,Deluxe,3,Divorced,5,1,3,1,Manager,21172,4
0,26,Self Enquiry,1,12,Salaried,Female,4,Basic,4,Divorced,2,0,3,1,Executive,17368,2
1,58,Self Enquiry,1,29,Small Business,Female,3,Standard,3,Divorced,2,0,3,1,Senior Manager,25312,3
1,19,Self Enquiry,3,28,Small Business,Male,3,Basic,3,Unmarried,2,1,2,0,Executive,16675,3
0,22,Self Enquiry,1,8,Large Business,Male,3,Basic,3,Divorced,1,0,5,1,Executive,17523,5
0,49,Self Enquiry,1,26,Small Business,Female,3,Deluxe,5,Divorced,2,0,2,1,Manager,21567,5
0,43,Company Invited,1,13,Small Business,Female,2,Basic,3,Unmarried,5,0,3,0,Executive,19739,5
0,50,Company Invited,3,18,Small Business,Female,3,Standard,3,Unmarried,5,0,5,0,Senior Manager,24208,3
1,31,Self Enquiry,3,13,Salaried,Female,5,Deluxe,3,Divorced,4,1,3,1,Manager,19559,3
0,41,Self Enquiry,3,15,Salaried,Male,3,Standard,3,Married,4,1,2,0,Senior Manager,23189,4
0,26,Self Enquiry,2,31,Salaried,Female,3,Basic,3,Divorced,2,0,4,1,Executive,17942,3
0,36,Self Enquiry,1,12,Small Business,Male,4,Deluxe,4,Married,7,0,4,1,Manager,19941,3
1,51,Company Invited,1,14,Salaried,Male,5,Standard,3,Unmarried,3,0,2,0,Senior Manager,25650,3
0,39,Self Enquiry,3,10,Salaried,Female,4,Deluxe,3,Divorced,5,0,5,1,Manager,20902,2
0,25,Self Enquiry,3,34,Salaried,Male,4,Deluxe,3,Divorced,3,0,4,0,Manager,23639,2
0,30,Self Enquiry,2,15,Salaried,Male,3,Deluxe,3,Divorced,1,1,3,1,Manager,21347,3
1,36,Self Enquiry,1,15,Small Business,Female,3,Basic,5,Unmarried,1,0,4,1,Executive,22347,3
0,36,Self Enquiry,1,35,Small Business,Male,3,Basic,3,Unmarried,6,0,2,1,Executive,18452,2
0,38,Self Enquiry,1,9,Large Business,Female,3,Deluxe,3,Unmarried,4,1,5,0,Manager,1000,2
0,30,Self Enquiry,1,24,Salaried,Female,3,Basic,3,Unmarried,2,0,2,1,Executive,17632,3
0,32,Company Invited,3,13,Small Business,Male,5,Deluxe,3,Married,1,0,2,0,Manager,19668,3
0,30,Self Enquiry,1,11,Large Business,Female,3,Basic,5,Married,6,0,5,1,Executive,18204,3
0,30,Self Enquiry,1,8,Small Business,Male,4,Basic,3,Unmarried,1,0,4,0,Executive,17720,2
0,41,Company Invited,1,16,Salaried,Male,4,Super Deluxe,5,Married,5,0,2,1,AVP,32181,3
0,41,Self Enquiry,1,15,Salaried,Male,3,Basic,5,Divorced,3,0,2,0,Executive,17238,5
0,19,Self Enquiry,1,9,Small Business,Female,3,Basic,4,Unmarried,2,0,3,1,Executive,16483,5
0,40,Company Invited,1,32,Small Business,Female,3,Deluxe,4,Married,2,0,2,1,Manager,20605,2
0,35,Self Enquiry,3,6,Small Business,Male,3,Standard,4,Divorced,2,0,4,1,Senior Manager,22295,5
0,53,Self Enquiry,3,12,Small Business,Male,3,Deluxe,3,Divorced,3,1,5,0,Manager,17306,2
0,45,Self Enquiry,1,15,Salaried,Male,3,Deluxe,4,Married,1,0,4,1,Manager,17348,2
0,32,Company Invited,3,14,Small Business,Female,3,Standard,3,Unmarried,2,0,4,1,Senior Manager,23998,3
0,29,Company Invited,1,13,Large Business,Male,3,Deluxe,3,Divorced,2,0,3,0,Manager,22347,3
0,51,Self Enquiry,1,13,Small Business,Male,4,Deluxe,3,Divorced,3,0,3,1,Manager,21132,3
0,58,Self Enquiry,1,15,Small Business,Female,4,Basic,4,Divorced,5,1,2,1,Executive,18346,3
0,40,Self Enquiry,3,10,Small Business,Male,4,Standard,3,Divorced,1,0,2,1,Senior Manager,25855,3
0,34,Company Invited,3,8,Small Business,Female,3,Basic,3,Divorced,7,0,5,1,Executive,17231,5
0,22,Self Enquiry,1,25,Small Business,Male,3,Basic,3,Divorced,2,0,2,0,Executive,17323,4
0,27,Company Invited,1,15,Small Business,Male,3,Basic,4,Married,7,0,3,0,Executive,17024,2
0,28,Self Enquiry,1,27,Small Business,Male,3,Basic,3,Divorced,2,0,2,0,Executive,17713,2
0,57,Self Enquiry,1,30,Salaried,Male,2,Standard,3,Married,4,1,4,1,Senior Manager,24439,3
0,27,Company Invited,1,9,Small Business,Male,4,Basic,3,Married,2,1,2,0,Executive,17566,5
0,50,Self Enquiry,1,17,Salaried,Female,3,King,4,Unmarried,4,0,5,1,VP,34926,3
0,41,Self Enquiry,1,20,Salaried,Male,3,Basic,3,Married,5,0,4,1,Executive,17451,3
0,30,Self Enquiry,3,11,Salaried,Female,3,Standard,3,Divorced,3,0,4,1,Senior Manager,24419,3
0,38,Self Enquiry,3,6,Salaried,Female,4,Deluxe,3,Unmarried,5,0,2,1,Manager,23686,3
0,32,Self Enquiry,1,12,Salaried,Male,3,Basic,3,Unmarried,4,0,2,0,Executive,18038,3
0,27,Self Enquiry,1,23,Large Business,Male,3,Basic,4,Divorced,1,1,4,1,Executive,18058,2
1,19,Company Invited,3,6,Large Business,Female,5,Basic,5,Unmarried,1,0,3,1,Executive,17325,4
0,36,Company Invited,1,9,Small Business,Male,3,Basic,4,Unmarried,5,0,4,1,Executive,17088,1
0,30,Company Invited,1,15,Small Business,Male,3,Deluxe,5,Married,2,0,2,0,Manager,18072,4
0,45,Self Enquiry,3,10,Salaried,Female,4,Deluxe,5,Married,5,1,4,0,Manager,20006,1
0,56,Self Enquiry,1,13,Salaried,Female,3,Basic,5,Married,5,1,4,1,Executive,22347,4
0,33,Self Enquiry,1,8,Salaried,Male,3,Basic,3,Unmarried,1,0,3,0,Executive,17500,3
1,19,Self Enquiry,1,8,Salaried,Male,4,Basic,3,Unmarried,2,0,5,0,Executive,16102,2
0,46,Self Enquiry,3,6,Small Business,Female,3,Standard,5,Married,2,0,2,1,Senior Manager,25453,4
0,38,Self Enquiry,1,15,Salaried,Female,3,Basic,3,Unmarried,2,0,2,1,Executive,17288,4
0,36,Self Enquiry,1,18,Small Business,Female,3,Basic,3,Divorced,1,1,4,1,Executive,22347,5
0,34,Self Enquiry,1,33,Small Business,Female,3,Basic,4,Unmarried,3,0,3,1,Executive,17311,3
1,41,Self Enquiry,3,26,Small Business,Female,3,Basic,4,Unmarried,2,1,4,0,Executive,18140,5
0,36,Self Enquiry,1,6,Small Business,Male,4,Basic,3,Divorced,3,0,3,0,Executive,18690,2
0,53,Self Enquiry,1,13,Small Business,Female,2,Deluxe,5,Married,2,0,2,1,Manager,22347,3
0,33,Self Enquiry,1,20,Small Business,Female,3,Basic,4,Divorced,2,0,5,0,Executive,17756,3
0,40,Self Enquiry,1,10,Small Business,Female,3,King,3,Divorced,2,0,5,0,VP,34033,3
0,55,Self Enquiry,1,20,Small Business,Male,2,King,4,Unmarried,1,0,2,0,VP,33722,5
0,34,Company Invited,1,8,Salaried,Male,4,Deluxe,3,Divorced,2,0,4,0,Manager,24547,2
0,51,Self Enquiry,1,9,Small Business,Female,3,Super Deluxe,4,Unmarried,4,0,5,0,AVP,28734,4
0,52,Self Enquiry,1,6,Salaried,Male,4,King,3,Divorced,1,0,2,1,VP,34999,4
0,27,Self Enquiry,1,15,Small Business,Female,3,Basic,4,Unmarried,2,0,3,1,Executive,17279,2
1,35,Self Enquiry,1,29,Salaried,Male,4,Deluxe,3,Divorced,4,1,4,1,Manager,20916,3
0,43,Company Invited,1,13,Small Business,Male,2,Basic,3,Married,5,0,4,0,Executive,17089,3
0,45,Company Invited,1,8,Small Business,Male,4,Super Deluxe,3,Divorced,1,0,4,1,AVP,31792,3
0,36,Self Enquiry,1,27,Salaried,Male,2,Basic,5,Divorced,2,1,3,0,Executive,18564,5
0,35,Company Invited,1,13,Small Business,Female,3,Deluxe,4,Unmarried,6,0,2,1,Manager,22347,2
0,42,Company Invited,1,27,Small Business,Female,3,Deluxe,3,Married,3,0,2,0,Manager,20265,2
0,38,Self Enquiry,1,8,Salaried,Male,3,Deluxe,3,Divorced,1,0,2,0,Manager,21553,3
0,38,Self Enquiry,1,35,Large Business,Male,3,Deluxe,3,Divorced,4,0,2,0,Manager,21261,3
0,27,Company Invited,1,13,Large Business,Male,4,Deluxe,5,Divorced,6,0,3,0,Manager,22347,3
0,49,Company Invited,1,24,Salaried,Male,3,Deluxe,3,Married,2,1,2,0,Manager,21804,4
0,36,Company Invited,1,16,Small Business,Male,3,Basic,3,Married,2,1,3,1,Executive,22347,2
0,40,Self Enquiry,1,25,Small Business,Male,3,Deluxe,3,Divorced,1,1,2,1,Manager,17741,3
1,38,Self Enquiry,1,35,Small Business,Male,3,Deluxe,5,Divorced,1,1,3,0,Manager,21673,4
1,29,Self Enquiry,3,33,Small Business,Female,3,Standard,3,Divorced,2,0,3,1,Senior Manager,22639,3
0,22,Self Enquiry,1,11,Salaried,Male,2,Basic,4,Married,2,1,4,0,Executive,17328,2
0,36,Company Invited,1,24,Small Business,Female,3,Basic,3,Unmarried,2,0,3,1,Executive,17153,5
0,40,Company Invited,1,13,Salaried,Male,4,Deluxe,3,Divorced,1,0,5,1,Manager,19876,3
0,46,Self Enquiry,1,6,Small Business,Male,3,Standard,5,Married,1,0,2,0,Senior Manager,24396,3
1,32,Self Enquiry,3,10,Small Business,Male,5,Standard,3,Divorced,2,0,2,1,Senior Manager,25400,3
0,30,Company Invited,1,6,Salaried,Male,4,Standard,3,Unmarried,2,0,5,1,Senior Manager,23474,3
0,27,Company Invited,3,26,Salaried,Female,3,Deluxe,3,Unmarried,2,0,2,1,Manager,24981,3
0,51,Self Enquiry,1,14,Salaried,Male,4,Standard,4,Divorced,6,0,3,1,Senior Manager,27490,3
1,30,Self Enquiry,1,9,Large Business,Female,3,Basic,5,Unmarried,6,1,4,1,Executive,17657,3
0,41,Self Enquiry,3,12,Salaried,Female,3,Standard,3,Unmarried,4,1,2,0,Senior Manager,28591,4
1,30,Company Invited,3,32,Small Business,Female,4,Deluxe,5,Unmarried,6,0,2,0,Manager,21696,3
1,29,Self Enquiry,1,6,Large Business,Male,3,Basic,3,Unmarried,1,0,2,0,Executive,17058,2
0,45,Company Invited,3,12,Small Business,Female,4,Standard,3,Unmarried,7,0,4,1,Senior Manager,23865,2
0,54,Self Enquiry,3,9,Small Business,Female,3,Deluxe,5,Divorced,3,0,4,1,Manager,20940,3
0,36,Self Enquiry,1,11,Salaried,Male,3,Deluxe,4,Unmarried,1,0,2,0,Manager,20914,5
0,33,Self Enquiry,1,10,Small Business,Female,4,Basic,4,Divorced,7,0,4,0,Executive,17622,2
0,37,Company Invited,1,17,Salaried,Male,3,Standard,3,Married,2,1,3,0,Senior Manager,27185,3
0,38,Self Enquiry,3,9,Salaried,Male,3,Standard,3,Married,1,0,2,1,Senior Manager,25609,4
0,31,Self Enquiry,1,13,Small Business,Male,5,Deluxe,3,Divorced,1,0,3,1,Manager,22347,2
0,59,Self Enquiry,1,9,Salaried,Male,4,Basic,3,Divorced,4,0,3,0,Executive,17177,4
0,37,Company Invited,3,10,Small Business,Male,3,Basic,3,Married,5,0,4,1,Executive,17177,2
0,29,Company Invited,3,6,Small Business,Female,3,Standard,3,Divorced,2,0,3,1,Senior Manager,22918,2
0,35,Company Invited,3,6,Small Business,Female,3,Standard,3,Unmarried,2,0,5,1,Senior Manager,23789,3
1,29,Self Enquiry,1,24,Small Business,Male,4,Basic,3,Unmarried,2,1,3,0,Executive,17389,3
0,52,Self Enquiry,1,8,Salaried,Female,4,Basic,3,Unmarried,1,0,3,0,Executive,18212,2
0,42,Self Enquiry,1,10,Large Business,Male,3,King,3,Divorced,2,0,2,0,VP,34232,3
0,59,Self Enquiry,2,12,Small Business,Male,3,Basic,3,Divorced,1,0,4,1,Executive,17267,2
0,50,Self Enquiry,3,6,Small Business,Female,3,King,3,Married,4,0,2,1,VP,34517,4
1,33,Self Enquiry,1,20,Small Business,Male,3,Basic,3,Divorced,6,1,2,0,Executive,17436,3
0,43,Self Enquiry,3,22,Small Business,Female,3,Super Deluxe,3,Divorced,6,1,3,0,AVP,31064,4
1,33,Self Enquiry,1,8,Salaried,Female,3,Basic,5,Divorced,1,0,3,1,Executive,17707,2
0,52,Company Invited,3,8,Salaried,Male,4,King,3,Unmarried,2,1,2,1,VP,34068,5
0,36,Self Enquiry,3,10,Salaried,Female,3,Basic,4,Divorced,3,0,3,1,Executive,22347,2
1,36,Self Enquiry,1,6,Salaried,Male,4,Basic,3,Unmarried,1,1,5,1,Executive,22347,3
0,39,Self Enquiry,1,6,Small Business,Female,3,Basic,3,Married,1,0,3,0,Executive,17232,4
0,32,Company Invited,3,13,Small Business,Male,3,Deluxe,3,Divorced,1,0,4,1,Manager,22347,5
0,41,Self Enquiry,1,25,Salaried,Male,3,Deluxe,5,Married,3,0,2,1,Manager,18072,2
0,40,Self Enquiry,1,30,Large Business,Male,3,Deluxe,3,Married,2,0,3,1,Manager,18319,4
0,45,Self Enquiry,1,6,Salaried,Male,2,King,3,Divorced,1,0,4,1,VP,34202,5
0,31,Company Invited,1,9,Small Business,Male,3,Standard,3,Married,1,0,4,1,Senior Manager,28675,5
0,33,Self Enquiry,1,11,Salaried,Female,4,Basic,3,Divorced,2,0,2,0,Executive,17911,5
0,34,Self Enquiry,1,8,Salaried,Male,4,Deluxe,5,Divorced,7,0,4,0,Manager,20957,3
0,36,Self Enquiry,1,6,Small Business,Female,4,Basic,5,Divorced,3,0,4,1,Executive,22347,3
0,45,Company Invited,1,13,Salaried,Male,2,Deluxe,3,Divorced,5,0,2,0,Manager,21434,5
1,37,Company Invited,1,16,Small Business,Male,3,Standard,3,Married,7,0,3,1,Senior Manager,25048,5
0,39,Company Invited,1,8,Large Business,Female,3,Standard,3,Unmarried,1,0,2,1,Senior Manager,25938,4
